Company Name,Total Interns,Employees,Address,Town,State,Zip,Sector
"Good2Go, LLC",3,2,"1452 Dorchester Avenue, 4th Floor #14",Dorchester,MA,2122,Alternative Transportation
GotSun-GoSolar,9,3,"1539 Fall River Ave, Suite 3A",Seekonk,MA,2771,Solar
Gradiant Corporation,2,23,225 Wildwood Ave,Woburn,MA,1801,Services and Support
Great Sky Solar,12,9,2161 Massachusetts Ave.,Cambridge,MA,2140,Solar
Greater Boston Physicians for Social Responsibility,1,3,PO Box 470563,Brookline,MA,2447,Other
Greater Springfield Habitat for Humanity,4,7,268 Cold Spring Avenue,West Springfield,MA,1089,Energy Efficiency
Green Beverly,1,10,100 Cummings Center,Beverly,MA,1915,Energy Efficiency
Green Cambridge,2,1,PO Box 380932,Cambridge,MA,2238,"Alternative Transportation,Energy Efficiency,Solar"
Green Century Capital Management,56,12,"114 State Street, Suite 200",Boston,MA,2109,Other
Green Energy Consumer's Alliance,50,20,284 Amory Street,Boston,MA,2130,Alternative Transportation
"Green Newton, Inc. ",19,3,PO Box 590242,Newton Centre,MA,2459,Energy Efficiency
Green Streets Initiative,13,1,166A Elm Street N.,Cambridge,MA,2140,Alternative Transportation
GreenerU,26,15,"307 Waverley Oaks Road, Suite 202",Waltham,MA,2452,Energy Efficiency
GreenLabs Recycling,2,3,277 Baker Avenue,Concord,MA,1742,Other
Greentech Media,2,24,2 Liberty Sq.,Boston,MA,2128,"Smart Grid,Solar,Other"
Greentown Collaborative Inc. DBA Greentown Labs,47,40,444 Somerville Ave,Somerville,MA,2143,Other
Greentown Learn,3,3,444 Somerville Ave.,Somerville,MA,2143,Services and Support
Greentown.org (DBA FORGE),20,3,444 Somerville Avenue,Somerville,MA,2143,Services and Support
Gridco Systems,4,40,10L Commerce Way,Woburn,MA,1801,Smart Grid
GridEdge Networks,2,10,6 Lyberty Way Unit 102,Westford,MA,1886,"Solar,Wind"
Gridling Global,2,1,42 Phillips Street,Boston,MA,2114,"Alternative Transportation,Energy Efficiency,Green Building,Services and Support,Smart Grid,Other"
Gridspan Energy LLC,10,1,61 Blake Rd.,Brookline,MA,2445,
Gridwealth,2,62,33 Union Ave Suite 2100,Sudbury,MA,1776,Solar
Groom Energy Solutions,20,21,200 Cummings Center Suite 177-C,Beverly,MA,1915,Energy Efficiency
"Groundwork Lawrence, Inc.",1,1,50 Island St,Lawrence,MA,1840,Other
"Growbox, Inc.",4,1,44 Portland St Floor 4,Worcester,MA,1608,Other
Guardian Energy Management Solutions LLC,2,35,420 Northboro Rd Central,Marlborough,MA,1752,Energy Efficiency
H2Ok Innovations Inc.,5,13,444 Somerville Ave,Somerville,MA,2143,Water Technology
Habitat for Humanity Greater Boston,3,22,240 Commercial St 4th Floor,Boston,MA,2109,Green Building
Hampshire Power Corporation,4,8,"116 Pleasant St, Suite 350",Easthampton,MA,1027,Services and Support
Hancock Software,7,12,28 Gilleonard Lane,Framingham,MA,1701,Conservation
Harmony Desalination Corporation (DBA Harmony Desalting),6,3,96 Holton St. #5,Boston,MA,2135,Water Technology
Harris Miller Miller & Hanson Inc.,2,35,77 South Bedford St.,Burlington,MA,1803,Services and Support
Harvest Power,5,25,"221 Crescent Street, Suite 402",Waltham,MA,2453,Biofuel
"Hashcore, Inc.",1,2,359 newbury st,Boston,MA,2115,Geothermal
Haycon LLC,1,30,35 Batchelder Street,Boston,MA,2119,Green Building
Hazen and Sawyer,1,30,"24 Federal Street, 4th Floor",Boston,MA,2110,Water Technology
HDM Systems Corporation,10,15,84 Lincoln St,Allston,MA,2134,Solar
Health Care Without Harm,1,7,"12110 Sunset Hills Road, Suite 600",Reston,VA,20190,Services and Support
Healthy Home Healthy Planet,5,2,19 Russell St.,Marblehead,MA,1945,Green Building
"Heartland Water Technology, Inc",27,7,"43 Broad St, Unit B403",Hudson,MA,1749,Water Technology
HeatSpring,2,,220 Concord Ave.,Cambridge,MA,2138,Services and Support
"Heila Technologies, Inc.",6,12,444 Somerville Ave.,Somerville,MA,2143,Smart Grid
Heliotronics,2,,1083 Main St,Hingham,MA,2043,Energy Efficiency
Hempstone,2,1,100 Main Street,Hatfield,MA,1038,Green Building
"Highland Park Technologies, LLC",2,3,103 Terrace Street,Roxbury Crossing,MA,2120,Green Building
HIS & HERS Energy Efficiency,4,2,57R Adams Rd,Westhampton,MA,1039,Energy Efficiency
Hitchcock Hydro (DBA Gravity Renewables),1,5,"271 Waverley Oaks Road, Suite 203",Waltham,MA,2452,"Hydro,Services and Support"
HMFH Architects,2,53,130 Bishop Richard Allen Drive,Cambridge,MA,2139,Green Building
Home Energy Efficiency Team (HEET),26,12,"50 Milk Street, 16th Floor",Boston,MA,2109,Energy Efficiency
Home Energy Raters (KMO Sustainability),2,18,180 State Rd,Sagamore Beach,MA,2562,Services and Support
Homestead Engineering,5,2,1664 Cape St,Williamsburg,MA,1096,Biofuel
"HomeWorks Energy, Inc.",19,500,101 Station Landing Suite 110,Medford ,MA,2155,Energy Efficiency
Hot Ice Innovations LLC (DBA Powerhouse),12,1,31 School Street,Danvers,MA,1923,Solar
HP Distributor,1,3,184 Cedar Hill Street,Marlborough,MA,1742,Green Building
Hydration Labs (Bevi),12,85,"529 Main Street, Suite 3304",Charlestown,MA,2129,Services and Support
Hydrovia,2,1,25 linwood,Boston,MA,2119,Green Building
Iblogix,2,,470 Totten Pond Rd. 3rd Floor,Waltham,MA,2451,Services and Support
"ICON Architecture, Inc.",1,36,101 Summer Street 5th Floor,BOSTON,MA,2110,Services and Support
"Independence Solar, LLC",2,3,"101 tremont Street, Suite 611",Boston,MA,2108,Solar
"Infinite Cooling, Inc.",27,13,121 Madison Street,Malden,MA,2148,Water Technology
"INFINIUM, Inc.",9,20,3 Huron Drive,Natick,MA,1760,Energy Efficiency
InnoEnergy USA LLC (DBA EIT InnoEnergy),4,2,444 Somerville Ave,Somerville,MA,2143,Services and Support
Innosepra,1,1,444 Somerville Ave.,Middlesex,MA,4123,"Alternative Transportation,Biofuel"
Inroof.solar,1,2,11 Chestnut Street,Amesbury,MA,1913,Solar
Institute for Applied Economic Advancement,2,2,19 Kendrick St,Wrentham,MA,2093,Energy Efficiency
Integrated Eco Strategy,1,19,"85 Main St., #212",North Adams,MA,1267,Green Building
Intent 2 Action,1,1,83 Lake View Avenue,Cambridge,MA,2138,Services and Support
Intrepid Pursuits,2,,222 Third Street #4000,Cambridge,MA,2141,Other
Invaleon Technologies Corporation,24,30,"26 Parkridge Rd, Suite 1B",Haverhill,MA,1835,Solar
"Ionic Materials, Inc.",5,73,107 County Rd,Reading,MA,01867-3335,Energy Efficiency
Ipswich River Watershed Association,9,10,143 County Rd,Ipswich,MA,1938,Water Technology
isgenuity,3,50,500 Harrison Avenue Suite 5F,Boston,MA,2118,Green Building
Ithaca Clean Energy,27,1,130 East Fourth St,Corning,NY,14830,Offshore Wind
Ivys Inc. (DBA Ivys Energy Solutions),7,9,"303 Wyman Street, STE 300",Waltham,MA,2451,Alternative Transportation
"IWNL Energy, LLC",1,1,"867 Boylston Street, 5th Floor #1087",Boston,MA,2116,Services and Support
JaccPro LLC (DBA E-Ski),4,4,75 Webster Street,Worcester,MA,1603,Alternative Transportation
Jane Energy,2,1,120 Broadway,New York,NY,10271,Green Building
"JC Cannistraro, LLC",1,500,80 Rosedale Rd. PO Box 413,Watertown,MA,2116,Energy Efficiency
"JETCOOL Technologies, Inc.",14,7,"305 Foster Street, Suite 201",Littleton,MA,1460,Energy Efficiency
"JM Electrical Company, Inc.",1,200,471 Broadway,Lynnfield,MA,1940,Energy Efficiency
Joro,4,2,,Oakland,CA,,"Carbon Trading,Demand Response,Energy Efficiency "
JSG Communications,3,1,444 Somerville Ave.,Somerville,MA,2143,"Hydro,Solar"
Julius Education,6,1,444 Somerville Avenue,Somerville,MA,2143,Services and Support
K2 Management,1,6,"129 South Street, 5th Floor",Boston,MA,2111,Servies and Support
"Kanda Industries, Inc.",4,2,"530 Western Avenue, Unit 506",Allston,MA,2135,Biomass
Kearsarge Energy,1,3,"480 Pleasant Street, Suite B110",Watertown,MA,2472,Solar
Keegan Werlin LLP,1,30,"265 Franklin Street, 6th Floor",Boston,MA,2110,Energy Efficiency
Kendall Sustainable Infrastructure,21,2,6 University Road,Cambridge,MA,2138,Solar
Kent Hicks Construction Co. (DBA East Branch Studios),11,18,PO Box 57,West Chesterfield,MA,1084,Green Building
Keystone Tower Systems,6,5,17 Spalding St.,Boston,MA,2130,Wind
KGS Buildings,3,12,66 Union Square,Somerville,MA,2143,Energy Efficiency
Kim Lundgren Associates,6,6,10 Post Office Sq. 8th Floor,Boston,MA,2109,Services and Support
Kinetic Batteries LLC,5,1,104 Prescott Street,Worcester,MA,1605,Alternative Transportation
"Kula Bio, Inc.",2,8,444 Somerville Ave,Somerville,MA,2143,Biomass
"kWhOURS, Inc.",8,10,38 Chauncy St. Suite 1301,Boston,MA,2111,Energy Efficiency
"Laminar Collective, Inc.",1,2,1 Salem Street #2,Cambridge,MA,2139,Energy Efficiency
LaReg Corp.,1,1,295 Walnut Street,Wellesley,MA,2481,Services and Support
"LastMile Energy, LLC",3,1,9 Larason Farm Road,Sharon,MA,2067,Solar
"Lautec US, Inc.",13,7,"50 Milk Street, Floor 18",Boston,MA,2109,Wind
Lavallee Systems,2,16,83 Leicester St,N. Oxford,MA,1537,Services and Support
Leading Cities,6,3,"50 Milk Street, 15th Floor",Boston,MA,2110,Business Development
"Leading Edge Crystal Technologies, Inc.",2,15,"400 Research Drive, Suite 120",Wilmington,MA,1887,Solar
Leading Edge Equipment Technologies,4,14,"400 Research Drive, Suite 120",Wilmington,MA,1887,Other
Lexington Climate Action Network (LexCAN),2,1,42 Greenwood Street,Lexington,MA,2421,Services and Support
Lime Energy,1,,Quarry Hill Rd,Lee,MA,1238,Energy Efficiency
"Linevision, Inc.",24,30,"529 Main Street, Suite 307",Boston,MA,2129,Energy Efficiency
Linnean Solutions,2,3,11 Stearns Street,Cambridge,MA,2138,Green Building
"Lionano, Inc.",4,28,19 Presidential Way,Woburn,MA,1801,Energy Storage
Lithios,6,6,196 Boston Avenue,Medford,MA,2155,Other
"Littoral Power Systems, Inc.",13,5,"5 Dover Street, Suite 102",New Bedford,MA,2740,Hydro
LiveData Utilities,10,25,810 Memorial Drive,Cambridge,MA,2139,Smart Grid
Livewell Home Improvement,1,1,33 Laurel Mountain Rd.,West Whately,MA,1093,Green Building
"Loci Controls, Inc.",5,7,"99 South Main St., Suite 310",Fall River,MA,2721,"Biofuel,Biomass,Services and Support,Other"
"Loop CO2, Inc.",4,3,"260 Cedar Hill Street, Lab#5",Malborough,MA,1752,Other
"Lydian Labs, Inc.",8,10,750 Main Street,Cambridge,MA,2139,Other
MacroCycle Technologies,2,2,750 Main Street,Cambridge,MA,2139,"Circularity, Plastic recycling"
Maglev Aero,8,19,"12 Channel Street, Suite 502",Boston,MA,2210,Alternative Transportation
"Malta, Inc.",3,10,"One Broadway, 14th Floor",Cambridge,MA,2142,Energy Storage
Manatee Energy,2,1,29 Ellsworth Avenue,Cambridge,MA,2139,Green Building
"Mantel Capture, Inc.",14,15,750 Main St,Cambridge,MA,2139,Carbon Trading
Marine Renewable Energy Collaborative of New England (MRECo),7,2,PO Box 479,Marion,MA,2738,Hydro
Mass Energy Experts,2,3,55 Sixth Road,Woburn,MA,1801,Energy Efficiency
Massachusetts Climate Action Network,46,3,"100 Cambridge Street, 14th Floor #8423",Boston,MA,2114,Energy Efficiency
"Massachusetts Interfaith Power & Light, Inc.",3,1,"897 Washington Street, Unit 600163",Newton,MA,2460,Energy Efficiency
"MassEnergize, Inc",24,3,"34 Walden St, Box 13",Concord,MA,1742,Energy Efficiency
"MassRobotics, Inc.",1,11,12 Channel Street,Boston,MA,2210,Other
"Mavel Americas, Inc.",3,10,121 Mount Vernon Street,Boston,MA,2108,Hydro
Medley Thermal,3,2,444 Somerville Avenue,Somerville,MA,2143,Demand Response
"Meister Consultants Group, Inc.",24,22,"1 Center Plaza, Suite 320",Boston,MA,2108,Services and Support
"Menon Laboratories, Inc",2,2,28 Dane St.,Somerville,MA,2143,Water Technology
"Meridian Associates, Inc",29,25,"500 Cummings Center, Suite 5950 ",Beverly,MA,1915,Solar
"Metalmark Innovation, Inc.",16,3,767 Concord Ave,Cambridge,MA,2138,Green Building
"Metro Mobility, LLC",8,10,"1035 Cambridge Street, 28B",Cambridge,MA,2141,Alternative Transporation
"MG2 Technologies, LLC",1,3,41 sherwood ave,Danvers,MA,1923,Energy Efficiency
Mide Technology,2,60,475 Wildwood Ave,Woburn,MA,1801,Wind
"Midori Renewables, Inc.",1,13,47 Moulton Street,Cambridge,MA,2138,Biomass
MNL Partners,17,1,28 Dane St.,Somerville,MA,2143,Services and Support
Modern Energy,5,40,24 Rockdale St,Worcester,MA,1606,Energy Efficiency
Montague Corporation,2,8,"1035 Cambridge Street, Suite 29",Cambridge,MA,2141,Alternative Transportation
"Moran Shipping Agencies, Inc.",2,7,35 Braintree Hill Office Park #104,Braintree,MA,2184,Wind
Mori,7,15,440 Rutherford Avenue Suite 400,Boston,MA,2129,Other
Moss Hollow Solar,15,1,803 Leominster Road,Lunenburg,MA,1462,Green Building
MTPV Power Corporation,20,8,"400 Riverside Ave, Suite 3",Medford,MA,2155,Other
Multiscale Systems,5,7,"49 Canterbury St, Suite 500",Worcester,MA,1610,Other
"MultiSensor Scientific, Inc. (DBA Kuva Systems)",23,10,1035 Cambridge St Suite 10A,Cambridge ,MA,2141,Conservation
My Town Solar,3,2,"1035 Cambridge St, #30",Cambridge,MA,2141,Solar
"MySunBuddy, Inc",2,4,"1 Center Plaza, Suite 320",Boston,MA,2108,"Services and Support,Solar"
Nano-Ice,1,1,28 Dane St.,Somerville,MA,2143,Energy Efficiency
"Nanostone Water, Inc.",10,9,"1432 Main Street, Suite 240",Waltham,MA,2451,Water Technology
National Grid,7,6000,170 Data Drive,Waltham ,MA,2451,Energy Efficiency
NB Development,2,1,358 Chestnut Hill Ave. Suite 302,Brighton,MA,2135,Solar
NBD Nanotechnologies,9,12,41 Sherwood Ave,Danvers,MA,1923,"Energy Efficiency,Solar,Water Technology,Wind"
NEC Energy Solutions,13,130,155 Flanders Road,Westborough,MA,1581,Energy Efficiency
"Neeeco, LLC",3,2,10 Upton Dr. Ste 8 ,Wilmington ,MA,1887,Energy Efficiency
"NEO Virtus Engineering, Inc.",15,1,410 GREAT ROAD B-6,Littleton,MA,1460,Solar
"New Ecology, Inc.",16,35,15 Court Sq STE 420,Boston,MA,2108,Energy Efficiency
New England Biochar LLC,1,6,"40 Redberry Road, Box 266",Eastham,MA,2642,Biomass
"New England Clean Energy, Inc.",30,30,"577 Main St, Suite 430",Hudson,MA,1749,Solar
New England Hydropower Company,19,2,Post Office Box 5524,Beverly Farms,MA,1915,Hydro
"New England Solar Hot Water, Inc.",2,11,"54 Corporate Park, Suite 510",Pembroke,MA,2359,Solar
New England Water Innovation Network (NEWIN),8,7,22 Liberty Street,Braintree,MA,2184,Water Technology
New Mobility Services Inc. (DBA NEMO),3,3,"398 Columbus Ave., #342",Boston,MA,2116,Alternative Transportation
"Newburyport CleanTech Center, Inc.",3,21,10 Mulliken Way,Newburyport,MA,1950,Incubator
"NewGrid, Inc.",12,3,444 Somerville Avenue,Somerville,MA,2143,Smart Grid
Nexamp,29,237,"101 Summer Street, 2nd floor",Boston,MA,2110,Solar
Next Rung Technology,1,1,444 Somerville Avenue,Somerville,MA,2143,"Biofuel,Water Technology"
"NextSun Energy, LLC",10,1,77 Pond Ave. Suite 101,Brookline,MA,2445,Solar
"NMR Group, Inc.",12,31,50-2 Howard St.,Somerville,MA,2144,Energy Efficiency
NONA Technologies,2,3,444 Somerville Avenue,Somerville,MA,2143,Water Technology
Nordee Enterprise (dba Transform Power Systems),2,4,181 Ruskindale Rd,Hyde Park,MA,2136,Energy Efficiency
North East Biodiesel,18,1,179 Silvio Conte Drive,Greenfield,MA,1302,Biofuel
"North Shore InnoVentures, Inc.",14,6,"100 Cummings Center, Suite 451C",Beverly,MA,1915,Services and Support
North Shore Solar and WindPower,1,2,71 Cabot St.,Beverly,MA,1915,Solar
"Northeast Energy Efficiency Partnerships, Inc. (NEEP)",54,27,"500 Unicorn Park Dr, Suite 300",Woburn,MA,1801,Energy Efficiency
"Northeast Solar Design Associates, LLC",4,17,136 Elm Street,Hatfield,MA,1038,Solar
Northeast Solar Services (DBA Solaris Renewables),52,48,"3 Electronics Ave, Suite 102",Danvers,MA,1923,Solar
Northeast Sustainable Energy Association (NESEA),46,8,"20 Federal Street, Suite 8",Greenfield,MA,1301,Services and Support
"Norvento USA, LLC",1,1,"470 Atlantic Avenue, 4th Floor",Boston,MA,2210,Wind
Notch Inc.,3,1,363 Washington Street,Cambridge,MA,2139,"Energy Efficiency,Green Building,Smart Grid"
Noteworthy AI Inc.,1,0,444 Somerville Ave,Somerville,MA,2143,Smart Grid
Novus Technical Services,1,1,22 Liberty Street,Braintree,MA,2184,"Biofuel,Biomass,Conservation,Energy Efficiency,Fuel Cell,Geothermal,Hydro,Smart Grid,Solar,Water Technology,Wind,Other"
NRGTree,26,8,128 Warren St,Lowell,MA,1852,Solar
Nth Cycle,13,9,15 Blue Sky Drive,Burlington,MA,1803,Other
"NuVant Systems, Inc.",35,18,34 Saint Germain Street #6,Boston,MA,2115,Energy Storage
NuWatt Energy,11,13,"2 Courthouse Lane, Unit 11",Chelmsford,MA,1824,"Solar,Other"
Oak Square Partners,3,3,"119 Braintree Street, Suite 211",Boston,MA,2134,"Smart Grid,Solar,Other"
Oasys Water,3,28,47 Moulton Street,Cambridge,MA,2138,Water Technology
Ocean River Institute,25,2,12 Eliot Street,Cambridge,MA,2138,Conservation
OffGridBox,6,3,444 Somerville Ave.,Somerville,MA,2143,"Energy Efficiency,Solar,Water Technology,Other"
Offshore Construction Associates,8,9,24 School St 2nd floor,Boston,MA,2129,Wind
Offshore Wind: Massachusetts,2,4,"227 Union Street, Room 606",New Bedford,MA,2740,Wind
"Onboard Data, Inc.",4,2,444 Somerville Ave,Somerville,MA,2143,Green Building
Onvector,2,2,444 Somerville Avenue,Somerville,MA,2143,Water Technology
Open Market ESCO (WinnCompanies),2,1000,One Washington Mall Suite 500,Boston,MA,2109,Green Building
Optigon,2,2,444 Somerville Ave,Somerville,MA,2143,Solar
"OptiRTC, Inc.",10,20,"98 North Washington Street, Suite 210",Boston,MA,2114,Water Technology
Optodot Corporation,7,6,31 MacArthur Ave.,Devens,MA,1434,Energy Storage
Orien Energy Inc.,1,1,"One Broadway, 14th Floor",Cambridge,MA,2142,Energy Efficiency
"Osmoses, Inc.",10,9,750 Main Street,Cambridge,MA,2139,Energy Efficiency
OutSmart Power Systems,3,18,11 Mercer Road,Natick,MA,1760,"Conservation,Energy Efficiency,Green Building,Services and Support,Smart Grid"
Oxbow Design Build Cooperative,2,22,"122 Pleasant Street, Suite 109",Easthampton,MA,1027,Green Building
Palmer Capital Corporation,8,5,"13 Elm Street, Ste 200",Cohasset,MA,2025,Wind
"PanelClaw, Inc.",16,25,"1600 Osgood Street, Suite 2023",North Andover,MA,1845,Solar
Paradigm Energy (M2 Holdings),3,50,275 Mystic Ave Suite B,Medford,MA,2155,Energy Efficiency
"Pascal Technologies, Inc.",1,4,750 Main Street,Cambridge,MA,2139,Green Building
Path to a Green Home,1,4,45 Neptune Street,Beverly,MA,1915,Services and Support
Paul Lukez Architecture,3,10,"1310 Broadway, Suite 104",Somerville,MA,2144,Green Building
"Paul Nace & Associates, LLC",1,2,30 Old Nugent Farm Road,Gloucester,MA,1930,Biofuel
Peace Rising,24,3,"18 Montrose Street, Apartment 2",Somerville,MA,2143,"Carbon Trading,Conservation,Solar"
Pecos Wind Power,6,4,444 Somerville Avenue,Somerville,MA,2143,Wind
PelletCo,1,0,20 GodFrey Drive,Orono,ME,1,BioMass
"Penley Systems, LLC",1,2,236 Glen Road,Weston,MA,2493,Energy Efficiency
"People Acting in Community Endeavors, Inc. (PACE)",1,175,166 Williams Street,New Bedford,MA,2740,Energy Efficiency
Perch Energy (Blue Wave Community Solar),2,20,501 Boylston Street,Boston,MA,2116,Other
"Peroxygen Systems, Inc.",2,5,116 John St. Ste. 315,Lowell,MA,1852,
Phoenix Tailings,9,10,8 Henshaw Street Suite B,Woburn,MA,1801,Other
"Picktricity, LLC",2,5,"889 W MAIN ST, Suite 3",Centerville,MA,2632,Solar
"Pioneer Valley Habitat for Humanity, Inc.",49,5,PO Box 60642,Florence,MA,1062,Green Building
Placetailor Elton Hampton Design LLC,2,12,103 Terrace Street ,Roxbury,MA,2120,Green Building
"Placetailor, Inc. ",8,12,51 Heath Street,Jamaica Plain,MA,2130,"Conservation,Energy Efficiency,Green Building"
Planck Energies Inc.,7,2,15 Breton Dr,Canton,MA,2021,Energy Efficiency
Plasma Energy Innovation,2,3,176 WILSHIRE DRIVE,Sharon,MA,2067,Biofuel
Poly6 Technologies,14,2,164 Middlesex Turnpike,Burlington,MA,1803,Energy Efficiency
"PolyJoule, Inc.",3,15,46 Manning Road,Billerica,MA,1821,Energy Storage
"Positive Energy Homes, LLC",1,2,19 Russell St.,Marblehead,MA,1945,Green Building
Power Advisory LLC,41,5,22 Devens Street,Concord,MA,1742,Offshore Wind
Power for Humanity,4,4,272 Amity Street,Amherst,MA,1002,Other
Power House Energy Consulting,7,4,35 New South Street,Northampton,MA,1060,Energy Efficiency
PowerDash,1,2,"50 Church Street, 5th Floor",Cambridge,MA,2138,Services and Support
Powerhouse Dynamics,1,25,3 Bridge Street,Newton,MA,2458,"Energy Efficiency,Smart Grid,Other"
"PowerOptions, Inc.",19,13,129 South Street 6th Floor,Boston,MA,2111,Energy Efficiency
"Prellwitz/Chilinski Associates, Inc. (PCA, Inc.)",1,1,14 Douglas Rd,Cambridge,MA,2139,Green Building
Preservation of Affordable Housing Inc. (POAH),2,50,"2 Oliver St, Suite 500",Boston,MA,2109,Energy Efficiency
PRIME Coalition,10,20,625 Massachusetts Ave,Cambridge,MA,2139,Other
Prime Lightworks Inc. ,9,1,28 Dane St.,Somerville,MA,2143,"Alternative Transportation,Solar,Other"
PRIME Management Company,7,2,"625 Massachusetts Avenue, 2nd Floor",Cambridge,MA,2139,Other
"Prince Lobel Tye, LLP",1,120,"100 Cambridge Street, Suite 2200",Boston,MA,2114,Services and Support
Prism Consulting Inc (DBA Prism Energy Services),10,7,"1150 Hancock Street, Ste 400",Quincy,MA,2169,Energy Efficiency
"Pro Star Energy, LLC",13,50,1600 Osgood Street Suite 2035,North Andover,MA,1845,Solar
Progressive Asset Management ,22,5,126 Centre Street,Brookline,MA,2446,Other
"Promethean Power Systems, Inc.",5,1,28 Dane St.,Somerville,MA,2143,Energy Efficiency
Proper Pipe Inc,1,1,"One Boston Place, Suite 2600",Boston,MA,2108,"Water Technology,Other"
"Prospect Growth, Inc.",1,2,"100 Carlson Avenue, Umass Amherst Mt Ida",Newton,MA,2459,Conservation
Protek Corporation,5,10,530 West Street,Braintree,MA,2184,"Services and Support,Other"
Protonex Technology Corp,20,60,"153 Northboro Rd., Suite 1",Southborough,MA,1772,Fuel Cell
"Provocative Science Holdings, LLC",2,5,321B Washington Street,Somerville,MA,2143,Carbon Dioxide Removal
"PSM Energy, LLC",4,4,17 Ivaloo Street,Somerville,MA,2143,Solar
Pure Lithium Corporation,3,40,55 Roland Street,Charlestown,MA,2129,Energy Efficiency
PureSky US Services LLC (DBA PureSky Energy) ,10,3,"518 17th St., Suite 950",Denver,CO,80202,Solar
"PurposeEnergy, Inc.",1,4,800 W Cummings Park Suite 3400,Woburn,MA,1801,"Biofuel,Biomass,Water Technology"
PV Pure,10,2,444 Somerville Ave.,Somerville,MA,2143,Water Technology
PV Squared (Pioneer Valley Photovoltaic Cooperative),6,48,"311 Wells Street, Suite B",Greenfield,MA,1301,Solar
Qteros,2,,"100 Campus Drive, 6th floor",Marlborough,MA,1752,Biofuel
Quanta Development LLC,7,2,38-42 Medford Street Unit 1,Somerville ,MA,2143,Energy Efficiency
QuantAQ,1,2,444 Somerville Ave,Somerville,MA,2143,Other
"Quincy Asian Resources, Inc.",2,25,PO Box 690536,Quincy,MA,2269,Energy Efficiency
RA Capital Management,1,126,"200 Berkeley Street, 18th Floor",Boston,MA,2116,Other
Radical Plastics,2,4,100 Cummings Center Unit 240D,Beverly,MA,1915,Biodegradable Polymers for Agriculture and Beyond
Raise Green,1,3,444 Somerville Ave,Somerville,MA,2143,Other
Raptor Maps,12,20,444 Somerville Ave,Somerville,MA,2143,Solar
"Rate It Green, LLC",51,1,216 Westerly Rd,Weston,MA,2493,Green Building
Ratel Consulting LLC,4,1,"1 Broadway, 14th Floor",Cambridge,MA,2142,Alternative Transportation
Rayah Solar,8,10,21 Bond Street,Spencer,MA,1562,Solar
RC Cubed,5,4,"40 Jackson St, Suite 1120",Worcester,MA,1608,Solar
"Real Goods Energy Tech, Inc.",1,35,84 State St.,Boston,MA,2109,Solar
"Recover Green Roofs, LLC",5,30,9 OLIVE SQUARE,SOMERVILLE,MA,2143,Green Building
Reframe Systems,1,12,30 Lowell Junction Road,Andover,MA,1810,Green Building
"REinsulation, Inc.",2,2,"340 McKinstry Avenue, Suite 350",Chicopee,MA,1013,Energy Efficiency
"Renew Energy Partners, LLC",14,9,"One Lincoln St., STE 2900",Boston,MA,2111,Energy Efficiency
Renewable Energy Systems (RES Solar),6,6,15 Marion way,Cohasset,MA,2025,Other
"REON Technology, Inc.",11,3,"200 Turnpike Road, Unit 10",Chelmsford,MA,1824,Energy Efficiency
Resolute Marine Energy,21,7,3 Post Office Square - 3rd floor,Boston,MA,2109,Other
Resolute Methane,1,1,"2 Rogers Avenue, Unit 2",Somerville,MA,2144,Carbon Trading
Resonant Energy,22,18,60 Clayton St.,Dorchester,MA,2122,Solar
Resource Lighting & Energy,10,19,291 McGowan Street,FALL RIVER,MA,2723,Energy Efficiency
"REsurety, Inc.",32,60,"40 Water Street, 9th Floor",Boston,MA,2109,Services and Support
Rethinking Power Management LLC,1,4,"13 Waltham St, Suite B109",Boston ,MA,2118,Energy Efficiency
"Retroficiency, Inc.",7,30,"101 Arch Street, Suite 30-Summer Exchange Building",Boston,MA,2110,Energy Efficiency
"Return to Vendor, Co.",4,2,"423 West 43rd Street, Black Door",Manhattan,NY,10036,Other
ReVision Energy,9,25,1980 Turnpike St,North Andover,MA,1845,Solar
Revolt Charging Inc.,2,5,3 Allied Drive Suite 303,Dedham,MA,2026,Energy Efficiency
Rhapsody Venture Partners,10,3,210 Broadway 2nd Floor,Cambridge,MA,2139,"Alternative Transportation,Biofuel,Energy Efficiency,Water Technology,Other"
"Rifiniti, Inc.",18,12,51 Melcher Street,Boston,MA,2210,Green Building
"River Otter Renewables, Inc",2,1,63 Crescent Street,Stow,MA,1775,Biofuel
Riverstone Sustainability,17,3,8 Lincoln Street,Newburyport,MA,1950,Green Building
"Roberts Brothers Lumber Co., Inc.",1,4,1450 Spruce Corner Road,Ashfield,MA,1330,Biomass
Roberts Energy Renewables,1,0,1450 Spruce Corner Road,Ashfield,MA,1330,Biomass
Robosys Automation Inc,2,3,113 Deborah Road,Newton,MA,2459,Offshore Wind
Ross Solar Group,4,15,225 Park Ave.,Worcester,MA,1604,Solar
rStream Recycling Inc (DBA rStream),3,2,444 Somerville Ave,Somerville,MA,02143-3270,Conservation
"Rye Development, LLC",7,5,"745 Atlantic Avenue, 8th Floor",Boston,MA,2111,Hydro
"Sage Devices, Inc.",2,3,1280 Massachusetts Avenue,Cambridge,MA,2138,Smart Grid
Sagewell,5,9,12 Alfred Street,Woburn,MA,1801,"Alternative Transportation,Energy Efficiency"
"Salient Predictions, Inc.",5,5,39 Gull Rd,Falmouth,MA,2540,Hydro
